Organization Name,Location,Tax Identification Number,KCEGP Code,Website,Short Description,Category,Category 3,Category 2,Link 1,Link 2,Link 3,Link 4,Status,Community of Opportunity,Current Pledges,Link 1 description,Link 2 description,Link 3 description,Link 4 description,Communities Served 1,Communities Served 2,Communities Served 3
StoryBook Theater,"348 Kirkland Ave
Kirkland, WA 98033
(47.676063007, -122.200948997)",94-3213270,9321,https://studio-east.org/,"We work to create confident, compassionate, responsible young people through training in the art and craft of theater.","Arts, Culture, & Humanities",,Youth Development,,https://www.guidestar.org/profile/94-3213270,,,Returning,,,,https://www.guidestar.org/profile/94-3213270,,,Children & Youth,,
Chimpanzee Sanctuary Northwest,"PO Box 952
Cle Elum, WA 98922
(47.195355, -120.938305)",68-0552915,9346,https://www.ChimpsNW.org,Provides lifetime quality care for formerly abused and exploited chimpanzees while advocating for great apes everywhere.,Animals,,,https://www.charitynavigator.org/ein/680552915,https://www.guidestar.org/profile/68-0552915,https://www.bbb.org/charity-reviews/greatwestpacific/chimpanzee-sanctuary-northwest-in-cle-elum-wa-1000054538,,Returning,,,https://www.charitynavigator.org/ein/680552915,https://www.guidestar.org/profile/68-0552915,https://www.bbb.org/charity-reviews/greatwestpacific/chimpanzee-sanctuary-northwest-in-cle-elum-wa-1000054538,,,,
Washington State Animal Response Team (WASART),"PO Box 21
Enumclaw, WA 98022
(47.20347, -121.98953)",26-0295234,9430,https://www.wasart.org,An all-volunteer nonprofit dedicated to helping animals and their owners in emergencies. We rescue livestock & companion animals and operate emergency animal shelters.,Animals,,Emergency & Disaster Services,,https://www.guidestar.org/profile/26-0295234,,,Returning,,,,https://www.guidestar.org/profile/26-0295234,,,,,
Islamic Center of Kent,"PO Box 6339
Kent, WA 98064
(47.386955, -122.19916)",91-1876641,9552,https://www.islamiccenterofkent.org,"Organize religious, educational, and social awareness events based on Islamic teachings and traditions. Civil engagement. Food and financial assistance for needy families.",Spiritual Development,Youth Development,Community Development,,,,,Returning,,,,,,,"Asian, Asian American",Economically Disadvantaged People,"Immigrants, Migrants, Refugees"
The Hope Heart Institute,"4455 148th Ave NE
Bellevue, WA 98007
(47.651063016, -122.145449986)",91-1138000,9581,https://www.hopeheart.org,"Northwest based non-profit, delivers research, education and hope to those who are at risk or have been impacted by cardiovascular disease, the #1 cause of death in America.","Disease, Disorders, & Medical Research",Health (General),Community Development,,,,,Returning,,,,,,,,,
Emergency Feeding Program Seattle King Co.,"851 Houser Way N Ste A
Renton, WA 98057
(47.499023004, -122.197038001)",91-1902023,9625,https://www.emergencyfeeding.org,"Lowering the Barriers to access food without restrictions of zip codes, proof of residency to working and non-working families, Homeless Population, Children, Seniors and more.",Food & Hunger,Health (General),Housing & Employment,,,,,New,,,,,,,"Immigrants, Migrants, Refugees",Economically Disadvantaged People,Seniors
Legal Counsel for Youth and Children (LCYC),"PO Box 28629
Seattle, WA 98118
(47.549285, -122.28339)",27-3006526,9653,https://www.lcycwa.org,"We protect the interests and safety of young people in WA by advancing their legal rights through direct legal representation, strong community partnerships, and systemic advocacy.",Legal Advocacy,Human & Civil Rights,Housing & Employment,https://www.charitynavigator.org/ein/273006526,https://www.guidestar.org/profile/27-3006526,,,Returning,,,https://www.charitynavigator.org/ein/273006526,https://www.guidestar.org/profile/27-3006526,,,Children & Youth,"Black, African American, African",LGBTQIA
Washington Federation of Animal Care and Control Agencies,"1425 Broadway St #20129
Seattle, WA 98122
(47.613658019, -122.32108296)",91-6056105,9696,https://www.wafederation.org,"Formed to provide animal agencies professional support, the opportunity to train, and bring professional growth to the animal protection business.",Animals,,Human & Civil Rights,,,,,Returning,,,,,,,,,
MLK Fame Community Center,"3201 E Republican St
Seattle, WA 98112
(47.622994998, -122.290812974)",27-4652745,9734,https://mlkfame.com,"A nonprofit whose purpose is to provide facilities for King County communities to engage in recreational, social, educational, cultural/arts and community service.","Arts, Culture, & Humanities",Youth Development,"Recreation, Sports, Leisure, & Athletics",,,,,Returning,,,,,,,"Black, African American, African",Children & Youth,Seniors
StolenYouth,"3101 E Madison St
Seattle, WA 98112
(47.625880007, -122.292151983)",45-4985230,9763,https://www.stolenyouth.org,Ending child sex trafficking in Washington state.,Human & Civil Rights,Education & Literacy,Youth Development,https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=454985230,,,,Returning,,,https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=454985230,,,,Children & Youth,LGBTQIA,
Companis,"1111 Harvard Ave
Seattle, WA 98122
(47.611925983, -122.321834984)",91-1705491,9782,https://www.companis.org,Creates healthy communities by fostering skilled volunteer service. Companis connects volunteer professionals with nonprofit agencies that need staffing assistance.,Food & Hunger,Education & Literacy,Community Development,,,,,Returning,,,,,,,"Black, African American, African","Asian, Asian American","Immigrants, Migrants, Refugees"
Seattle Preparatory School,"2400 11th Ave E
Seattle, WA 98102
(47.641048989, -122.317528027)",91-0644000,9964,https://www.seaprep.org/,Seattle's Jesuit College Preparatory School.,Education & Literacy,,,,,,,Returning,,,,,,,Children & Youth,Economically Disadvantaged People,
Northwest Tortoise,"6726 W 9th Pl
Kennewick, WA 99336
(46.200074985, -119.210730018)",47-2160609,10036,https://www.northwesttortoise.org,Dedication to rescue and education of tortoises from the entire northwest.,Animals,,,,,,,Returning,,,,,,,,,
First Five Years & Beyond,"302 W Harrison St Ste 101
Kent, WA 98032
(47.381879998, -122.235100978)",47-4257834,10131,https://ffyb.org,"FFYB provides parents with the skills, tools, and resources needed to support their children. Early Learning, Parent engagement and Youth development.",Education & Literacy,Poverty Relief,Youth Development,,,,,Returning,,,,,,,"Black, African American, African",Children & Youth,Women & Girls
Issaquah Alps Trails Club,"PO Box 688
Issaquah, WA 98027
(47.534065, -122.03646)",91-1081852,10806,https://WWW.ISSAQUAHALPS.ORG,"Since 1979 we have been successfully engaging the public to preserve, protect, and promote the land, wildlife, and trails of the Issaquah Alps for present and future generations.",Environment,,,,,,,Returning,,,,,,,,,
"Seattle Center Foundation, incl. Seattle/King County Clinic","305 Harrison St #310
Seattle, WA 98109
(47.62210199, -122.353994)",91-1003385,10860,https://www.seattlecenter.org,"Providing financial support for activities and events at Seattle Center, including Seattle/King County Clinic, free public programming, and Festal cultural festivals.","Arts, Culture, & Humanities",,,,,,,Returning,,,,,,,,,
Alley Cat Project,"PO Box 99224
Seattle, WA 98139
(47.63957, -122.399015)",38-3837142,10881,https://www.alleycatproject.org,To improve the lives of cats in the City of Seattle by reducing overpopulation through trap-neuter-release (TNR) of un-owned community cats in Seattle.,Animals,,,,https://www.guidestar.org/profile/38-3837142,,,Returning,,,,https://www.guidestar.org/profile/38-3837142,,,Economically Disadvantaged People,"Immigrants, Migrants, Refugees",
Vashon Youth and Family Services,"20110 Vashon Hwy SW
Vashon, WA 98070
(47.424294021, -122.45920499)",91-1025994,9429,https://vyfs.org,"To foster a thriving community of emotionally healthy & resilient children, youth, adults & families through counseling, parent education, childcare & emergency financial support.",Health (General),Housing & Employment,Education & Literacy,,https://www.guidestar.org/profile/91-1025994,,,Returning,,,,https://www.guidestar.org/profile/91-1025994,,,Economically Disadvantaged People,Children & Youth,"Latino/Latina/Latinx, Hispanic"
United Way of Snohomish County,"3120 McDougall Ave Ste 200
Everett, WA 98201
(47.975619989, -122.200383973)",91-0606507,9843,https://www.uwsc.org,"We catalyze and invest in community partners to create equitable systems that make it possible for young children, 0-8 years old, and their adult caregivers to escape poverty.",Youth Development,Housing & Employment,Health (General),https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7387#.VwLiVKb2aUk,https://www.guidestar.org/profile/91-0606507,https://www.bbb.org/alaskaoregonwesternwashington/Charity-Reviews/charity-human-services-ie-assistance-to-individuals-and-families/united-way-of-snohomish-county-in-everett-wa-22187725,,Returning,,,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7387#.VwLiVKb2aUk,https://www.guidestar.org/profile/91-0606507,https://www.bbb.org/alaskaoregonwesternwashington/Charity-Reviews/charity-human-services-ie-assistance-to-individuals-and-families/united-way-of-snohomish-county-in-everett-wa-22187725,,Economically Disadvantaged People,,
"ACLU, American Civil Liberties Union of Washington Foundation","PO Box 2728
Seattle, WA 98111
(47.608975, -122.33636)",23-7076867,2710,https://www.aclu-wa.org,"The nation's voice of freedom, fairness and equality for all in America, working to protect and extend basic rights for everyone.",Legal Advocacy,,Human & Civil Rights,,https://www.guidestar.org/profile/23-7076867,,,Returning,,,,https://www.guidestar.org/profile/23-7076867,,,,,
VillageReach,"210 S Hudson St Ste 307
Seattle, WA 98134
(47.558213993, -122.331747004)",91-2083484,10058,https://www.villagereach.org,Transforms health care delivery to reach everyone.,International Relief & Development,,Health (General),https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13400,https://www.guidestar.org/profile/91-2083484,,,Returning,,,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13400,https://www.guidestar.org/profile/91-2083484,,,Economically Disadvantaged People,"Black, African American, African",Women & Girls
Ventures,"2100 24th Ave S Ste 380
Seattle, WA 98144
(47.584075014, -122.301277026)",91-1704028,9703,https://www.venturesnonprofit.org,Seattle-based nonprofit that empowers aspiring entrepreneurs with limited resources and unlimited potential.,Social & Economic Justice,Poverty Relief,Education & Literacy,https://www.charitynavigator.org/ein/911704028,https://www.guidestar.org/profile/91-1704028,https://www.bbb.org/charity-reviews/greatwestpacific/ventures-in-seattle-wa-87000841,,Returning,,,https://www.charitynavigator.org/ein/911704028,https://www.guidestar.org/profile/91-1704028,https://www.bbb.org/charity-reviews/greatwestpacific/ventures-in-seattle-wa-87000841,,Economically Disadvantaged People,"Latino/Latina/Latinx, Hispanic","Immigrants, Migrants, Refugees"
King County Law Enforcement Explorers,"16720 SE 271 St
Covington, WA 98042
(47.359194, -122.11812297)",31-1730211,9393,https://www.kingcountyexplorers.com,Provides a program for youth who are interested in or curious about law enforcement. Building character one event at a time.,Youth Development,Emergency & Disaster Services,Social & Economic Justice,,,,,New,,,,,,,,,
Animal Legal Defense Fund,"525 E Cotati Ave
Cotati, CA 94931
(38.329128017, -122.699093969)",94-2681680,2898,https://www.aldf.org,The only nonprofit organization dedicated to protecting the lives and advancing the interest of animals through the legal system.,Animals,,Legal Advocacy,,https://www.guidestar.org/profile/94-2681680,,,NEW,,,,https://www.guidestar.org/profile/94-2681680,,,,,
Plateau Outreach Ministries,"1806 Cole St
Enumclaw, WA 98022
(47.205226988, -121.988434979)",91-1965830,10038,https://www.plateauoutreach.org,"We aim to help the community’s most vulnerable meet their basic needs. This includes food, utilities, rent, medical prescriptions, emergency shelter, and referrals.",Food & Hunger,Housing & Employment,Poverty Relief,,https://www.guidestar.org/profile/91-1965830,,,Returning,,,,https://www.guidestar.org/profile/91-1965830,,,Economically Disadvantaged People,"Latino/Latina/Latinx, Hispanic",Seniors
The Obama Foundation,"5235 S Harper Ct Ste 1140
Chicago, IL 60615
(41.799813989, -87.588849034)",46-4950751,5008,https://www.obama.org,Committed to helping the next generation of leaders take on the biggest challenges of our time.,Education & Literacy,,Youth Development,https://www.charitynavigator.org/ein/464950751,https://www.guidestar.org/profile/46-4950751,,,NEW,,,https://www.charitynavigator.org/ein/464950751,https://www.guidestar.org/profile/46-4950751,,,Children & Youth,,
Direct Relief,"6100 Wallace Becknell Rd
Santa Barbara, CA 93117
(34.435367996, -119.837203016)",95-1831116,2843,https://www.directrelief.org,We improve the health and lives of people affected by poverty or emergency situations by mobilizing and providing essential medical resources needed for their care.,Health (General),,Poverty Relief,,https://www.guidestar.org/profile/95-1831116,,,Returning,,,,https://www.guidestar.org/profile/95-1831116,,,,,
Second Chance Dogs,"PO Box 1305
McKenna, WA 98558
(46.935245, -122.55776)",27-0913466,10841,https://www.secondchancedogs.net,"Our mission is to rescue, rehab and retrain in order to find fur-loving furever homes for our dogs.",Animals,,,,,,,Returning,,,,,,,Economically Disadvantaged People,"Asian, Asian American","Black, African American, African"
Boys & Girls Clubs of Snohomish County,"8223 Broadway Ste 100
Everett, WA 98203
(47.922976021, -122.20586599)",91-0549511,9622,https://www.bgcsc.org,"Our Clubs provide a safe haven where youth can reach their full potential through mentorship, academic support, and programs to build healthy habits and active lifestyles.",Youth Development,"Recreation, Sports, Leisure, & Athletics",Education & Literacy,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10808,https://www.guidestar.org/profile/91-0549511,https://www.bbb.org/western-washington/Charity-Reviews/charity-children-and-youth/boys-and-girls-clubs-of-snohomish-county-in-everett-wa-37003605/,,Returning,,,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10808,https://www.guidestar.org/profile/91-0549511,https://www.bbb.org/western-washington/Charity-Reviews/charity-children-and-youth/boys-and-girls-clubs-of-snohomish-county-in-everett-wa-37003605/,,Children & Youth,Economically Disadvantaged People,
Building Changes,"1200 12th Ave S Ste 1200
Seattle, WA 98144
(47.592862014, -122.315733965)",91-1410450,2766,https://www.BuildingChanges.org,"Advances equitable solutions to family, youth, and child homelessness in Washington State.",Housing & Employment,,Poverty Relief,,https://www.guidestar.org/profile/91-1410450,,,Returning,,,,https://www.guidestar.org/profile/91-1410450,,,,,
Little Bit Therapeutic Riding Center,"18675 NE 106th St
Redmond, WA 98052
(47.693646018, -122.088799971)",91-1012131,9147,https://www.littlebit.org,"A community where horses transform the bodies, minds, and spirits of people with disabilities. We offer Therapy, Adaptive Riding, and more.",Health (General),"Recreation, Sports, Leisure, & Athletics",Animals,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11823,https://www.guidestar.org/profile/91-1012131,https://www.bbb.org/western-washington/Charity-Reviews/charity-health/little-bit-therapeutic-riding-center-in-redmond-wa-22466619,,Returning,,,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11823,https://www.guidestar.org/profile/91-1012131,https://www.bbb.org/western-washington/Charity-Reviews/charity-health/little-bit-therapeutic-riding-center-in-redmond-wa-22466619,,People With Disabilities,Children & Youth,Economically Disadvantaged People
Urban ArtWorks,"815 Seattle Blvd S Ste B7
Seattle, WA 98134
(47.595120979, -122.327099993)",91-1939910,10145,https://urbanartworks.org/,"A Washington State based 501(c) that engages youth, artists, and communities in the creation of public art that inspires connection and honors their voices.","Arts, Culture, & Humanities",Community Development,Youth Development,https://www.charitynavigator.org/ein/911939910,https://www.guidestar.org/profile/91-1939910,,,New,,,https://www.charitynavigator.org/ein/911939910,https://www.guidestar.org/profile/91-1939910,,,Children & Youth,Economically Disadvantaged People,LGBTQIA
The Amen Foundation,"2903 Mills Ave NE
Washington, DC 20018
(38.927403413, -76.972976381)",52-1837798,4189,https://www.amenfoundation.org,Support Catholic vocations/ministries for churches of Sub-Saharan Africa. Funds education; supports seminarians serving spiritual & economic needs.,Community Development,International Relief & Development,Spiritual Development,,https://www.guidestar.org/profile/52-1837798,,,Returning,,,,https://www.guidestar.org/profile/52-1837798,,,"Immigrants, Migrants, Refugees",Economically Disadvantaged People,Women & Girls
Holly Ridge Center,"5112 NW Taylor Rd
Bremerton, WA 98312
(47.587656014, -122.718568986)",91-0757541,10908,https://www.hollyridge.org,"Serves children and adults with disabilities in two primary program areas, the Infant Toddler Program-Birth to Three Early Intervention Services; and Adult Employment Services.","Mental Health, Disabilities, & Substance Abuse",Youth Development,Housing & Employment,https://www.charitynavigator.org/ein/910757541,https://www.guidestar.org/profile/91-0757541,,,Returning,,,https://www.charitynavigator.org/ein/910757541,https://www.guidestar.org/profile/91-0757541,,,People With Disabilities,Children & Youth,Economically Disadvantaged People
Snohomish County Council of the Society of St. Vincent de Paul,"6424 Broadway
Everett, WA 98203
(47.939386991, -122.19986396)",91-1022003,9759,https://www.svdpnsc.com,"Last year, our 300+ volunteers were able to assist over 90,461 people with items such as food, clothing, utility bills, household items and more.",Food & Hunger,Community Development,Poverty Relief,https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=911022003,https://www.guidestar.org/profile/91-1022003,,,Returning,,,https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=911022003,https://www.guidestar.org/profile/91-1022003,,,Children & Youth,Economically Disadvantaged People,Seniors
Historic Seattle Preservation Foundation,"1117 Minor Ave
Seattle, WA 98101
(47.610896014, -122.32549402)",91-1729777,9860,https://historicseattle.org/,Saving meaningful places to foster lively communities.,"Arts, Culture, & Humanities",Housing & Employment,Community Development,https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=911729777,https://www.guidestar.org/profile/91-1729777,,,Returning,,,https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=911729777,https://www.guidestar.org/profile/91-1729777,,,,,
American Council of the Blind,"1703 N Beauregard St Ste 420
Alexandria, VA 22311
(38.831612006, -77.12267097)",58-0914436,4161,https://www.acb.org,"Our mission is to increase the independence, security, equality of opportunity, and quality of life for all blind and visually impaired people.","Disease, Disorders, & Medical Research",Health (General),Human & Civil Rights,,https://www.guidestar.org/profile/58-0914436,,,Returning,,,,https://www.guidestar.org/profile/58-0914436,,,People With Disabilities,Seniors,Children & Youth
Medic One Foundation,"11747 NE 1st St Ste 310
Bellevue, WA 98005
(47.610565013, -122.182686004)",91-6183158,9391,https://www.mediconefoundation.org,"We are dedicated to saving lives by improving pre-hospital emergency care through paramedic training, EMS research, and equipment needs that firefighters and paramedics rely on.",Emergency & Disaster Services,"Disease, Disorders, & Medical Research",Health (General),https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10743,https://www.guidestar.org/profile/91-6183158,,,Returning,,,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10743,https://www.guidestar.org/profile/91-6183158,,,Seniors,Children & Youth,Economically Disadvantaged People
Seattle/King County Coalition on Homelessness,"85 S Washington St Ste 310
Seattle, WA 98104
(47.600712002, -122.335018042)",82-1831734,10047,https://www.homelessinfo.org,We mobilize our community to challenge systemic causes of homelessness and advocate for housing justice.,Legal Advocacy,,Social & Economic Justice,https://www.charitynavigator.org/ein/821831734,https://www.guidestar.org/profile/82-1831734,,,Returning,,,https://www.charitynavigator.org/ein/821831734,https://www.guidestar.org/profile/82-1831734,,,Economically Disadvantaged People,,
Hope for Haiti,"1021 5th Ave N
Naples, FL 34012
(26.153530998, -81.793737971)",59-3564329,3594,https://www.hopeforhaiti.com,"With experience in poverty alleviation since 1989, we work to improve the quality of life for the Haitian people, particularly women and children.",Education & Literacy,Emergency & Disaster Services,Health (General),https://www.charitynavigator.org/ein/593564329,https://www.guidestar.org/profile/59-3564329,,,Returning,,,https://www.charitynavigator.org/ein/593564329,https://www.guidestar.org/profile/59-3564329,,,"Immigrants, Migrants, Refugees",Children & Youth,Women & Girls
Work Opportunities,"4232 198th St SW
Lynnwood, WA 98036
(47.818769979, -122.290551962)",91-0754419,9844,https://www.workopportunities.org,"Provides a range of vocational services, including: training, job placement, and retention for people with disabilities to ensure their valued participation in the community.","Mental Health, Disabilities, & Substance Abuse",,,https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=910754419,https://www.guidestar.org/profile/91-0754419,,,Returning,,,https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=910754419,https://www.guidestar.org/profile/91-0754419,,,Economically Disadvantaged People,,
Digital Skills for All,"1311 108th Ave NE
Bellevue, WA 98004
(47.622774009, -122.196725021)",47-2699685,10118,https://www.computingforall.org,"We seek to break down cultural and systemic social barriers that prevent young adults of all races, genders, and abilities from exploring computer science as a potential career.",Education & Literacy,Youth Development,Community Development,,,,,Returning,,,,,,,,,
Mid Sound Fisheries Enhancement Group,"7400 Sand Point Way NE #202N
Seattle, WA 98115
(47.681880005, -122.263339023)",94-3143416,9944,https://www.midsoundfisheries.org,We engage people in on-the-ground efforts to help salmon and our communities thrive.,Environment,Community Development,Animals,https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=943143416,https://www.guidestar.org/profile/94-3143416,,,Returning,,,https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=943143416,https://www.guidestar.org/profile/94-3143416,,,,,
Arts Corps,"4408 Delridge Way SW Ste 110
Seattle, WA 98106
(47.563686998, -122.362956015)",91-2044679,9123,https://www.artscorps.org,"Youth ages 5-19 experience the transformative power of creativity through free, culturally responsive art classes that narrow the race and income-based arts gap in our region.","Arts, Culture, & Humanities",Social & Economic Justice,Youth Development,https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=912044679,https://www.guidestar.org/profile/91-2044679,https://www.bbb.org/western-washington/charity-reviews/charity-arts-and-culture/arts-corps-in-seattle-wa-22963410,,Returning,,,https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=912044679,https://www.guidestar.org/profile/91-2044679,https://www.bbb.org/western-washington/charity-reviews/charity-arts-and-culture/arts-corps-in-seattle-wa-22963410,,Children & Youth,,
Helen Keller International,"One Dag Hammarskjold Plaza Fl 2
New York, NY 10017
(40.753215528, -73.970015903)",13-5562162,3574,https://www.helenkellerintl.org,"Partners with communities who want to overcome longstanding cycles of poverty. Delivers the essentials of good health, sound nutrition & clear vision.",Health (General),Poverty Relief,Food & Hunger,https://www.charitynavigator.org/ein/135562162,https://www.guidestar.org/profile/13-5562162,,,Returning,,,https://www.charitynavigator.org/ein/135562162,https://www.guidestar.org/profile/13-5562162,,,Economically Disadvantaged People,"Immigrants, Migrants, Refugees",Children & Youth
Birthday Dreams,"1082 Kirkland Ave NE Ste A
Renton, WA 98056
(47.50156599, -122.177145985)",26-4667553,9912,https://www.birthdaydreams.org,"This local, grassroots organization brings joy, hope and a sense of self-worth to homeless children by giving the gift of a birthday party. Every child deserves to be celebrated!",Human & Civil Rights,Poverty Relief,Youth Development,https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=264667553,https://www.guidestar.org/profile/26-4667553,https://www.bbb.org/western-washington/Charity-Reviews/charity-children-and-youth/birthday-dreams-in-renton-wa-90006914,,Returning,,,https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=264667553,https://www.guidestar.org/profile/26-4667553,https://www.bbb.org/western-washington/Charity-Reviews/charity-children-and-youth/birthday-dreams-in-renton-wa-90006914,,Children & Youth,Economically Disadvantaged People,
EarthShare Washington,"1717 K St NW Ste 900
Washington, DC 20006
(38.902847287, -77.040252721)",91-1363472,2500,https://www.earthshare.org/,"Delivers funding to environmental nonprofits working to protect our air and water, fight for environmental justice, promote land and wildlife conservation, and much more.",Environment,,,https://www.charitynavigator.org/ein/911363472,https://www.guidestar.org/profile/91-1363472,,,Returning,,,https://www.charitynavigator.org/ein/911363472,https://www.guidestar.org/profile/91-1363472,,,,,
Seattle Nativity School,"4200 S Mead St
Seattle, WA 98118
(47.550644003, -122.279927983)",45-3088244,10821,https://www.seattlenativity.org,"A tuition-free, Jesuit, STEM middle school serving low-income students to break the cycle of poverty through education, including graduate support through high school and college.",Education & Literacy,Social & Economic Justice,Youth Development,https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=453088244,https://www.guidestar.org/profile/45-3088244,,,Returning,,,https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=453088244,https://www.guidestar.org/profile/45-3088244,,,Children & Youth,Economically Disadvantaged People,
