Focus,Best Starts for Kids Strategy,Partner,Project Description/Name,Contract Amount,King County Council Dist
Technical Assistance & Capacity Building,CB Small Grants,BRAVE,"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: BRAVE. Contract End Date: 12/31/2023","$   5,000.00","2, 3, 4, 5, 7, 8, 9"
Technical Assistance & Capacity Building,CB Small Grants,Bridges - Seattle Alternative Peer Group,"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: Technology Infrastructure Building. Contract End Date: 12/31/2023","$   8,920.00","1, 2, 3, 4, 5, 6, 7, 8, 9"
Technical Assistance & Capacity Building,CB Small Grants,Bridging Cultural Gaps (BCG),"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: Grant Writing Sustainability for BCG. Contract End Date: 12/31/2023","$   9,999.00","1, 2, 3, 4, 5, 6, 7, 8, 9"
Technical Assistance & Capacity Building,CB Small Grants,Celebrating Roots,"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: Celebrating Roots- Positive Discipline Training. Contract End Date: 12/31/2023","$   5,300.00","2, 8"
Technical Assistance & Capacity Building,CB Small Grants,Center for Human Services,"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: On-line Learning System for all Staff. Contract End Date: 12/31/2023","$   9,000.00","1, 2, 3, 4, 5, 6, 7, 8, 9"
Technical Assistance & Capacity Building,CB Small Grants,Cham Refugees Community,"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: CRC - Digital Equity. Contract End Date: 12/31/2023","$   9,999.00","2, 4, 5, 8"
Technical Assistance & Capacity Building,CB Small Grants,Childhaven,"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: Childhaven Technology Infrastructure Upgrades. Contract End Date: 12/31/2023","$   9,808.00","1, 2, 3, 4, 5, 6, 7, 8, 9"
Technical Assistance & Capacity Building,CB Small Grants,Children's Therapy Center,"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: IT Capacity Building for Children with Special Needs in S. King County. Contract End Date: 12/31/2023","$   5,141.00","2, 3, 4, 5, 6, 7, 8, 9"
Technical Assistance & Capacity Building,CB Small Grants,Chinese Information and Service Center,"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: Building Our Capacity to Serve. Contract End Date: 12/31/2023","$   5,998.00","1, 2, 3, 4, 5, 6, 7, 8, 9"
Technical Assistance & Capacity Building,CB Small Grants,CHOOSE 180,"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: CHOOSE180 Capacity Building Request. Contract End Date: 12/31/2023","$   5,000.00","5, 8"
Technical Assistance & Capacity Building,CB Small Grants,Community Cafe Collaborative,"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: BSK Capacity Building Grant. Contract End Date: 12/31/2023","$   6,440.00","1, 2, 3, 4, 5, 6, 7, 8, 9"
Technical Assistance & Capacity Building,CB Small Grants,Community for Youth (CfY),"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: IT Upgrades. Contract End Date: 12/31/2023","$   9,885.00","2, 5, 7, 8"
Technical Assistance & Capacity Building,CB Small Grants,Congolese Integration Network,"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: Congolese Integration Network (CIN). Contract End Date: 12/31/2023","$   7,139.00","1, 2, 3, 4, 5, 6, 7, 8, 9"
Technical Assistance & Capacity Building,CB Small Grants,Cultivate South Park,"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: Cultivate South Park. Contract End Date: 12/31/2023","$   9,999.00","2, 4, 5, 7, 8"
Technical Assistance & Capacity Building,CB Small Grants,Diaspora Family Healing Network,"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: Expanding Access. Contract End Date: 12/31/2023","$   9,999.00","2, 5, 7"
Technical Assistance & Capacity Building,CB Small Grants,Dispute Resolution Center of King County,"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: KCDRC Capacity Building Grant. Contract End Date: 12/31/2023","$   8,281.00",8
Technical Assistance & Capacity Building,CB Small Grants,East African Community Services,"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: IT Upgrades and Urgent Laptops. Contract End Date: 12/31/2023","$   9,923.00","2, 5, 8"
Technical Assistance & Capacity Building,CB Small Grants,El Centro de la Raza,"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: Employee Handbook Review/Translation. Contract End Date: 12/31/2023","$   9,999.00","1, 2, 3, 4, 5, 6, 7, 8, 9"
Technical Assistance & Capacity Building,CB Small Grants,Empower Youth Network,"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: Empower Youth Network Capacity Support. Contract End Date: 12/31/2023","$   9,999.00",3
Technical Assistance & Capacity Building,CB Small Grants,Encompass Northwest,"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: Encompass Pediatric Therapy Technology Upgrade. Contract End Date: 12/31/2023","$   9,999.00","2, 3, 5, 9"
Technical Assistance & Capacity Building,CB Small Grants,Eritrean Association in Greater Seattle,"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: Building Eritrean Association Capacity. Contract End Date: 12/31/2023","$   7,799.00",2
Technical Assistance & Capacity Building,CB Small Grants,Geeking Out Kids of Color,"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: GOKiC Project Management, Technology, and Fundraising Capacity Building. Contract End Date: 12/31/2023","$   7,566.00","2, 4, 5, 7, 8"
Technical Assistance & Capacity Building,CB Small Grants,Global Perinatal Services,"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: GPS Strategical Planning. Contract End Date: 12/31/2023","$   9,999.00","1, 2, 3, 4, 5, 6, 7, 8, 9"
Technical Assistance & Capacity Building,CB Small Grants,Glover Empower Mentoring,"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: GEM 2.0. Contract End Date: 12/31/2023","$   9,000.00","2, 5, 7, 9"
Technical Assistance & Capacity Building,CB Small Grants,Heart & Hustle Academy,"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: Heart and Hustle Academy. Contract End Date: 12/31/2023","$   9,999.00","1, 2, 3, 4, 5, 6, 7, 8, 9"
Technical Assistance & Capacity Building,CB Small Grants,HopeCentral,"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: VFAAB Tu Ky Curriculum Support. Contract End Date: 12/31/2023","$   9,999.00","1, 2, 3, 4, 5, 6, 7, 8, 9"
Technical Assistance & Capacity Building,CB Small Grants,Indian American Community Services (IACS),"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: IACS 2022 Financial Audit. Contract End Date: 12/31/2023","$   9,999.00","1, 2, 3, 4, 5, 7, 6, 8, 9"
Technical Assistance & Capacity Building,CB Small Grants,Institute for Community Leadership,"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: Institute for Community Leadership Capacity Building. Contract End Date: 12/31/2023","$   6,000.00","5, 7, 9"
Technical Assistance & Capacity Building,CB Small Grants,Iraqi Community Center of Washington,"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: IRCCW Capacity Building 2023. Contract End Date: 12/31/2023","$   9,999.00","1, 2, 4, 3, 6, 5, 8, 7, 9"
Technical Assistance & Capacity Building,CB Small Grants,JSOL STUDIOS LLC,"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: Liberated Village Cultural Safety Capacity Building. Contract End Date: 12/31/2023","$   9,999.00","2, 5, 8, 9"
Technical Assistance & Capacity Building,CB Small Grants,Kandelia,"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: Shared Leadership Model. Contract End Date: 12/31/2023","$   9,000.00","1, 2, 4, 5, 8"
Technical Assistance & Capacity Building,CB Small Grants,KBTC Public Television at Bates Tech,"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: KBTC Mobile Technology Kit. Contract End Date: 12/31/2023","$   9,544.00","5, 7, 9"
Technical Assistance & Capacity Building,CB Small Grants,Kent Community Development Collaborative,"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: KCDC Community Healthcare Navigation Initiative/Task Force (CHNI/CHNT). Contract End Date: 12/31/2023","$   8,865.00","5, 7, 9"
Technical Assistance & Capacity Building,CB Small Grants,Kids & Paper,"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: Improving Organization Technology and Understanding. Contract End Date: 12/31/2023","$   4,572.00","1, 2, 4"
Technical Assistance & Capacity Building,CB Small Grants,KidsQuest Children's Museum,"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: Technological Capacity Building for KidsQuest Children's Museum. Contract End Date: 12/31/2023","$   7,666.00","1, 2, 3, 4, 5, 6, 7, 8, 9"
Technical Assistance & Capacity Building,CB Small Grants,KidVantage,"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: KidVantage - Kent Hub. Contract End Date: 12/31/2023","$   6,885.00","1, 2, 3, 4, 5, 6, 7, 8, 9"
Technical Assistance & Capacity Building,CB Small Grants,Kiks for Cool Kids,"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: Building a Stronger Tomorrow Today. Contract End Date: 12/31/2023","$   8,000.00","1, 2, 3, 4, 5, 6, 7, 8, 9"
Technical Assistance & Capacity Building,CB Small Grants,Kindering,"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: Project Connection—Increasing dynamic engagement for Kindering staff  and families. Contract End Date: 12/31/2023","$   9,999.00","1, 2, 3, 4, 5, 6, 7, 8, 9"
Technical Assistance & Capacity Building,CB Small Grants,Korean Community Service Center,"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: KCSC Capacity Building. Contract End Date: 12/31/2023","$   9,999.00","1, 2, 3, 4, 5, 6, 7, 8, 9"
Technical Assistance & Capacity Building,CB Small Grants,LGBTQ Allyship,"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: Technology Capacity Building Funds to Reach LGBTQ+ Communities. Contract End Date: 12/31/2023","$   9,180.00","2, 3, 4, 5, 6, 7, 8, 9"
Technical Assistance & Capacity Building,CB Small Grants,Listen and Talk,"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: Building Capacity with IT Equipment. Contract End Date: 12/31/2023","$   9,999.00","1, 2, 3, 4, 5, 6, 7, 8, 9"
Technical Assistance & Capacity Building,CB Small Grants,Mary's Place,"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: Connecting Families to Services with Urgency - Mary's Place Call Tree. Contract End Date: 12/31/2023","$   9,960.00","1, 2, 3, 4, 5, 6, 7, 8, 9"
Technical Assistance & Capacity Building,CB Small Grants,Mother Africa,"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: Financial Tracking & Database Subscriptions. Contract End Date: 12/31/2023","$   9,999.00","1, 2, 3, 4, 5, 6, 7, 8, 9"
Technical Assistance & Capacity Building,CB Small Grants,Northwest Center,"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: Northwest Center Capacity Building Request for Early Supports Program. Contract End Date: 12/31/2023","$   9,825.00","1, 2, 4, 5, 8, 9"
Technical Assistance & Capacity Building,CB Small Grants,Open Doors for Multicultural Families,"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: Automate Payroll. Contract End Date: 12/31/2023","$   7,412.00","1, 2, 3, 4, 5, 6, 7, 8, 9"
Technical Assistance & Capacity Building,CB Small Grants,Pacific Islander Health Board of  Washington,"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: Capacity Building. Contract End Date: 12/31/2023","$   9,999.00","1, 2, 3, 4, 5, 6, 7, 8, 9"
Technical Assistance & Capacity Building,CB Small Grants,Perinatal Support Washington,"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: Perinatal Support Washington (PS-WA). Contract End Date: 12/31/2023","$   9,968.00","1, 2, 3, 4, 5, 6, 7, 8, 9"
Technical Assistance & Capacity Building,CB Small Grants,Pro Se Potential,"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: Innovative Educational Leadership. Contract End Date: 12/31/2023","$   9,999.00","2, 5, 6, 7, 8, 9"
Technical Assistance & Capacity Building,CB Small Grants,Rainier Athletes,"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: Smartsheet/Salesforce Connector. Contract End Date: 12/31/2023","$   5,000.00","6, 9"
Technical Assistance & Capacity Building,CB Small Grants,Refugee Women's Alliance (ReWA),"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: ReWA's Salesforce Database Build and Implementation. Contract End Date: 12/31/2023","$   9,999.00","1, 2, 3, 4, 5, 6, 7, 8, 9"
Technical Assistance & Capacity Building,CB Small Grants,Resilient in Sustaining Empowerment (RISE),"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: Technology Request for Resilient in Sustaining Empowerment. Contract End Date: 12/31/2023","$   9,999.00","1, 2, 3, 4, 5, 6, 7, 8, 9"
Technical Assistance & Capacity Building,CB Small Grants,Riverton Park United Methodist Church,"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: Fighting Hunger Insecurity in King County! Contract End Date: 12/31/2023","$   9,999.00","1, 2, 3, 4, 5, 6, 7, 8, 9"
Technical Assistance & Capacity Building,CB Small Grants,Rooted in Vibrant Communities (RVC) Seattle,"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: All Girl Everything Ultimate Program. Contract End Date: 12/31/2023","$   5,768.00","2, 5, 8"
Technical Assistance & Capacity Building,CB Small Grants,Rooted in Vibrant Communities/First Five Years & Beyond,"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: Technology/Devices for Youth and Staff. Contract End Date: 12/31/2023","$   9,995.00","2, 3, 5, 6, 7, 9"
Technical Assistance & Capacity Building,CB Small Grants,SanArte Healing & Cultura Clinic,"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: SanArte - Healing Through Arts. Contract End Date: 12/31/2023","$   9,595.00","1, 2, 3, 4, 5, 6, 7, 8, 9"
Technical Assistance & Capacity Building,CB Small Grants,Sea Potential,"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: Sea Potential Website and Funding Capacity. Contract End Date: 12/31/2023","$   9,950.00","1, 2, 3, 4, 5, 6, 7, 8, 9"
Technical Assistance & Capacity Building,CB Small Grants,SG Education Consulting,"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: SG Education: technology to advance change. Contract End Date: 12/31/2023","$   8,880.00","1, 2, 4, 5, 7, 8, 9"
Technical Assistance & Capacity Building,CB Small Grants,Society of St. Vincent de Paul,"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: 2023 SVdP Capacity Building Project for BSK Programs. Contract End Date: 12/31/2023","$   9,600.00","2, 3, 4, 5, 7, 8, 9"
Technical Assistance & Capacity Building,CB Small Grants,Solid Ground,"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: Solid Ground Agencywide Database Service Hours. Contract End Date: 12/31/2023","$   9,900.00","1, 2, 3, 4, 5, 6, 7, 8, 9"
Technical Assistance & Capacity Building,CB Small Grants,Somali Health Board,"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: Somali Health Board Technical Capacity Needs. Contract End Date: 12/31/2023","$   9,191.00","1, 2, 3, 4, 5, 6, 7, 8, 9"
Technical Assistance & Capacity Building,CB Small Grants,South End Stories,"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: Technology Expansion. Contract End Date: 12/31/2023","$   7,000.00","2, 4, 8"
Technical Assistance & Capacity Building,CB Small Grants,Southwest Youth & Family Services,"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: Building Organizational Infrastructure in IT and for New Futures Programming. Contract End Date: 12/31/2023","$   9,999.00","5, 8"
Technical Assistance & Capacity Building,CB Small Grants,St. Stephen Housing Association,"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: St. Stephen Housing Systems Upgrade. Contract End Date: 12/31/2023","$   9,761.00","5, 7"
Technical Assistance & Capacity Building,CB Small Grants,STEM Paths Innovation Network,"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: Expanding programming and building our team. Contract End Date: 12/31/2023","$   3,875.00","1, 2, 3, 4, 5, 6, 7, 8, 9"
Technical Assistance & Capacity Building,CB Small Grants,Student & Family Support Program,"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: Student & Family Support Program Capacity Building. Contract End Date: 12/31/2023","$   9,537.00","1, 2, 3, 4, 5, 6, 8"
Technical Assistance & Capacity Building,CB Small Grants,Sustainable Seattle,"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: Sustainable Seattle Grant Capacity Expansion. Contract End Date: 12/31/2023","$   9,998.00","1, 2, 3, 4, 5, 6, 7, 8, 9"
Technical Assistance & Capacity Building,CB Small Grants,Team Read,"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: Team Read Capacity Building. Contract End Date: 12/31/2023","$   9,978.00","2, 5, 8"
Technical Assistance & Capacity Building,CB Small Grants,Technology Access Foundation (TAF),"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: New Professional Development and hardware for staff. Contract End Date: 12/31/2023","$   9,384.00","2, 7, 8"
Technical Assistance & Capacity Building,CB Small Grants,The 4C Coalition,"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: Database Upgrade for Coordination and Efficiency. Contract End Date: 12/31/2023","$   7,500.00","1, 2, 3, 4, 5, 6, 7, 8, 9"
Technical Assistance & Capacity Building,CB Small Grants,The Vera Project,"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: VERA CRM Database Implementation. Contract End Date: 12/31/2023","$   8,000.00","1, 2, 3, 4, 5, 6, 7, 8, 9"
Technical Assistance & Capacity Building,CB Small Grants,Tilth Alliance,"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: Tilth Alliance: Rainier Beach Youth Stewards. Contract End Date: 12/31/2023","$   6,710.00","2, 4, 5, 8"
Technical Assistance & Capacity Building,CB Small Grants,United Indians Of All Tribes Foundation,"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: Becoming Visible. Contract End Date: 12/31/2023","$   9,000.00","1, 2, 4, 5, 7, 8, 9"
Technical Assistance & Capacity Building,CB Small Grants,Urban ArtWorks,"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: Urban ArtWorks Database Capacity Project. Contract End Date: 12/31/2023","$   9,726.00","1, 2, 4, 5, 6, 8, 9"
Technical Assistance & Capacity Building,CB Small Grants,Urban Family Center Association,"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: Capacity-building support for Urban Family - Youth 360 Initiative. Contract End Date: 12/31/2023","$   9,400.00","2, 5, 8"
Technical Assistance & Capacity Building,CB Small Grants,Vashon Youth & Family Services,"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: Vashon Youth & Family Services Computers. Contract End Date: 12/31/2023","$   6,500.00",8
Technical Assistance & Capacity Building,CB Small Grants,Voices of Tomorrow,"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: Canvas Learning Management System. Contract End Date: 12/31/2023","$   9,999.00","1, 2, 3, 4, 5, 6, 7, 8, 9"
Technical Assistance & Capacity Building,CB Small Grants,Washington Chapter of the American Academy of Pediatrics,"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: Strategic Organizational Capacity Building for WCAAP’s Future Growth. Contract End Date: 12/31/2023","$   1,220.00","1, 2, 3, 4, 5, 6, 7, 8, 9"
Technical Assistance & Capacity Building,CB Small Grants,WestSide Baby,"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: Technology Upgrades for Capacity Building. Contract End Date: 12/31/2023","$   7,974.00","1, 2, 3, 4, 5, 6, 7, 8, 9"
Technical Assistance & Capacity Building,CB Small Grants,White Center Community Development Association,"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: Technology Support. Contract End Date: 12/31/2023","$   9,975.00",8
Technical Assistance & Capacity Building,CB Small Grants,Wonderland Child & Family Services,"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: Wonderland cyber security enhancements. Contract End Date: 12/31/2023","$   9,933.00","1, 2, 3, 4, 6, 9"
Technical Assistance & Capacity Building,CB Small Grants,Young Women Empowered,"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: Young Women Empowered Capacity Building. Contract End Date: 12/31/2023","$   9,000.00","1, 2, 3, 4, 5, 6, 7, 8, 9"
Technical Assistance & Capacity Building,CB Small Grants,YouthCare,"This capacity building small grant will support enhancement of the infrastructure, systems, resources, and/or processes needed to provide services and programming. Project Title: Staff Laptop expansion. Contract End Date: 12/31/2023","$   9,999.00","1, 2, 4, 5, 8"
